Report Name,Metric,Description,Column Names,Time Range,Data Source,Cross-Check Method,Export Format
RFQ Summary,Total RFQs,تعداد کل RFQهای ثبت شده,"rfq_count, period_start, period_end",Last 7/30/90 days,logs/quote_events.json + DB rfqs table,Compare count(rfq_id) from DB with unique rfq_id in logs,CSV/Excel
RFQ Summary,Avg Award Time,میانگین زمان از ثبت RFQ تا Award,"avg_award_time_minutes, rfq_count",Last 7/30/90 days,logs/award_events.json,Calculate time difference between RFQ created_at and award timestamp,CSV/Excel
RFQ Summary,RFQs with ≥3 Quotes,درصد RFQهای دارای حداقل 3 پیشنهاد,"total_rfqs, rfqs_with_3plus_quotes, percentage",Last 7/30/90 days,logs/quote_events.json,Group quotes by rfq_id and count unique providers,CSV/Excel
RFQ Summary,Volume by Network,حجم معاملات به تفکیک شبکه,"network, total_usdt_amount, total_fiat_amount, rfq_count",Last 7/30/90 days,DB rfqs table + logs/award_events.json,Sum awarded_amount grouped by network from awards,CSV/Excel
Settlement KPI,Success Rate,نرخ انجام موفق تسویه,"total_settlements, successful_settlements, success_rate_percentage",Last 7/30/90 days,DB settlements table + logs (settlement events),Count settlements with status=settled vs total,CSV/Excel
Settlement KPI,Avg Settlement Time,زمان متوسط تسویه کامل,"avg_settlement_duration_minutes, settlement_count",Last 7/30/90 days,DB settlement_legs table timestamps,Calculate time from first leg start to last leg completion,CSV/Excel
Settlement KPI,SLA Breach Rate,نرخ نقض SLA تسویه,"total_settlements, sla_breached_count, breach_rate_percentage",Last 7/30/90 days,DB settlements table (sla_deadline vs updated_at),Count settlements where updated_at > sla_deadline,CSV/Excel
Dispute Outcomes,Total Disputes,تعداد کل اختلافات,"dispute_count, period_start, period_end, status_breakdown",Last 7/30/90 days,DB disputes table + logs/dispute_events.json,Compare count(*) from DB with unique dispute_id in logs,CSV/Excel
Dispute Outcomes,Resolution Rate,نرخ حل اختلاف,"total_disputes, resolved_disputes, resolution_rate_percentage, avg_resolution_time_hours",Last 7/30/90 days,DB disputes table + dispute_actions table,Count disputes with status=resolved / total disputes,CSV/Excel
Dispute Outcomes,Outcomes by Decision,نتایج اختلاف بر اساس تصمیم,"decision_type, count, percentage (favor_claimant/favor_respondent/partial/inconclusive)",Last 7/30/90 days,DB dispute_actions table (decision field),Group by decision and count,CSV/Excel
Dispute Outcomes,Provider Performance,عملکرد پرووایدرها در اختلافات,"provider_telegram_id, total_disputes_involved, disputes_against_provider, favor_provider_count, against_provider_count",Last 7/30/90 days,DB disputes + settlements + providers,Join disputes with settlements to find provider involvement,CSV/Excel
Telemetry,Notification Latency p95,p95 تأخیر ارسال اعلان,"latency_p95_ms, period",Last 24 hours,artefacts/Telemetry_Config.json + notification service metrics,Read from telemetry service endpoint,CSV/Excel
Telemetry,Notification Failure Rate,نرخ شکست ارسال اعلان,"failure_rate_percentage, total_attempts, failed_attempts, period",Last 1 hour,artefacts/Telemetry_Config.json + notification service metrics,Calculate failed/total from notification logs,CSV/Excel
Telemetry,Dispute Escalation Rate,نرخ Escalation اختلافات,"escalation_rate_percentage, total_disputes, escalated_count, period",Last 24 hours,artefacts/Telemetry_Config.json + DB dispute_actions,Count escalate actions / total disputes,CSV/Excel
